item_id,user_id,rating,timestamp,model_attr,category,brand,year,user_attr,split
111,250170,5,2014-05-05,Female&Male,Headphones,Panasonic,2006,Female,0
4516,390989,5,2015-01-30,Female,Wearable Technology,,2014,Male,0
6320,674626,1,2016-01-24,Male,Accessories & Supplies,,2015,Female,0
457,274446,5,2014-07-15,Male,Computers & Accessories,,2007,Male,0
6740,1117372,5,2018-03-20,Female,Headphones,,2015,Male,0
7780,408389,5,2016-10-22,Female&Male,Portable Audio & Video,,2015,Male,2
2545,212494,4,2014-01-18,Female&Male,Headphones,JLAB,2012,Female,0
7809,855997,5,2016-09-22,Female&Male,Headphones,Mpow,2015,Male,0
3505,535249,5,2015-08-14,Female&Male,Portable Audio & Video,,2013,Female,0
3817,164301,4,2014-12-01,Female&Male,Computers & Accessories,,2014,Male,2
4197,292788,4,2014-08-21,Male,Headphones,,2014,Female,0
3767,842781,1,2016-09-02,Female&Male,Camera & Photo,Samsung,2014,Female,0
4311,579450,5,2015-10-07,Female,Camera & Photo,,2014,Male,0
468,55724,4,2012-04-03,Female,Computers & Accessories,,2008,Male,2
449,24471,5,2009-01-20,Female,Computers & Accessories,,2007,Male,0
7173,1027278,5,2017-07-31,Female&Male,Camera & Photo,Fujifilm,2015,Female,0
4930,479468,3,2015-06-03,Female,Computers & Accessories,,2014,Female,0
1729,128945,3,2013-03-13,Male,Camera & Photo,,2012,Male,0
111,1067752,5,2017-11-10,Female&Male,Headphones,Panasonic,2006,Female,0
3817,759649,5,2016-05-07,Female&Male,Computers & Accessories,,2014,Male,0
1735,94447,5,2012-09-16,Male,Television & Video,,2011,Male,0
647,586354,1,2015-10-15,Male,Computers & Accessories,Logitech,2008,Female,0
5564,755861,5,2016-05-02,Male,Computers & Accessories,LSS,2016,Female,0
1599,96060,5,2012-10-05,Male,Computers & Accessories,,2012,Male,0
2348,217285,4,2014-01-29,Female&Male,Home Audio,,2012,Female,0
3798,272061,5,2015-10-01,Female,Camera & Photo,,2014,Female,2
2931,925280,3,2017-01-10,Female,Camera & Photo,Samsung,2013,Female,0
5663,443834,5,2015-04-11,Female&Male,Headphones,,2014,Male,0
6210,915052,5,2016-12-29,Female,Headphones,,2015,Female,0
430,21408,2,2008-10-16,Female,Computers & Accessories,Linksys,2007,Female,0
4664,739919,5,2016-04-11,Female,Computers & Accessories,Fintie,2014,Female,0
5851,828227,5,2017-02-09,Female,Accessories & Supplies,,2015,Female,2
3134,473888,5,2015-05-26,Female,Home Audio,,2013,Male,0
2924,377472,5,2015-01-12,Female&Male,Computers & Accessories,,2013,Female,0
6327,659640,5,2016-01-10,Male,Camera & Photo,,2015,Female,0
3357,157026,5,2016-06-10,Female&Male,Computers & Accessories,Etre Jeune,2013,Female,2
2008,346323,5,2014-12-03,Female&Male,Computers & Accessories,,2012,Male,0
3442,776631,5,2016-05-31,Female,Accessories & Supplies,,2013,Male,0
1670,144836,5,2013-05-24,Female&Male,Headphones,Bose,2011,Female,0
2663,449512,5,2015-04-20,Male,Accessories & Supplies,,2012,Female,0
7136,778221,5,2017-01-17,Male,Wearable Technology,,2015,Male,1
5747,320874,5,2015-02-06,Female&Male,Headphones,,2015,Male,1
4199,268728,4,2014-07-02,Male,Accessories & Supplies,,2014,Female,0
2288,145127,4,2013-05-25,Female&Male,Computers & Accessories,,2013,Female,0
3619,390511,5,2015-01-30,Female,Headphones,,2013,Male,0
5273,608986,4,2015-11-12,Female&Male,Portable Audio & Video,Bose,2014,Male,0
3359,561430,5,2015-09-14,Male,Camera & Photo,,2013,Male,0
6817,627529,5,2015-12-03,Male,Headphones,,2015,Male,0
5551,391813,1,2015-02-01,Female,Computers & Accessories,,2014,Male,0
3572,746345,5,2016-04-20,Female,Computers & Accessories,Etre Jeune,2013,Male,0
557,337054,4,2014-11-16,Male,Computers & Accessories,,2009,Male,0
6210,490349,1,2017-06-25,Female,Headphones,,2015,Female,2
1652,205683,5,2014-01-04,Male,Camera & Photo,Kodak,2012,Female,0
4782,132511,4,2015-01-24,Female&Male,Headphones,,2014,Male,0
1815,336587,2,2017-02-24,Female,Accessories & Supplies,,2013,Female,2
6007,21680,5,2016-07-23,Male,Camera & Photo,,2015,Male,2
390,104362,4,2014-10-13,Male,Camera & Photo,,2007,Female,0
3134,248914,5,2014-05-01,Female,Home Audio,,2013,Male,0
3029,467156,5,2015-05-16,Female&Male,Headphones,Bose,2013,Male,0
4864,484727,4,2015-06-11,Male,Accessories & Supplies,,2014,Female,0
4669,438844,1,2015-04-04,Male,Headphones,,2014,Female,0
3259,921461,5,2017-01-06,Female,Portable Audio & Video,,2013,Female,0
1815,910546,4,2016-12-25,Female,Accessories & Supplies,,2013,Male,0
3256,359117,2,2014-12-22,Female,Computers & Accessories,,2013,Male,0
6170,1078866,4,2017-12-11,Female&Male,Headphones,,2015,Male,0
6358,627483,3,2015-12-03,Female&Male,Television & Video,,2015,Female,0
4506,290227,4,2014-08-16,Female,Portable Audio & Video,,2014,Male,0
2237,880708,5,2016-11-04,Male,Camera & Photo,,2012,Female,0
6935,1099736,5,2018-02-01,Female&Male,Accessories & Supplies,,2015,Female,0
1526,594775,3,2015-10-26,Male,Computers & Accessories,,2011,Female,0
5821,387745,5,2015-01-26,Female&Male,Camera & Photo,,2015,Female,0
8339,1122803,5,2018-04-05,Male,Headphones,,2015,Female,0
5769,947089,5,2017-02-12,Male,Accessories & Supplies,,2015,Female,0
6535,1132401,5,2018-05-04,Female&Male,Headphones,,2015,Male,0
3989,110794,3,2015-12-15,Male,Security & Surveillance,Uniden,2014,Male,2
9553,1154368,5,2018-08-03,Female&Male,Camera & Photo,,2018,Female,0
3356,277672,4,2014-07-22,Male,Accessories & Supplies,,2013,Female,0
2412,240389,4,2014-04-03,Female&Male,Headphones,,2012,Male,0
3557,495453,2,2015-06-26,Female,Headphones,Tiamat,2013,Female,0
2355,569510,4,2015-09-23,Male,Headphones,Skullcandy,2012,Female,0
7721,696951,5,2016-02-18,Female,Headphones,TaoTronics,2015,Female,0
557,357377,5,2014-12-19,Male,Computers & Accessories,,2009,Female,0
2340,713595,5,2016-03-07,Female&Male,Headphones,,2012,Male,0
9244,913851,4,2016-12-28,Female,Accessories & Supplies,Etre Jeune,2016,Male,0
2297,117622,5,2013-01-25,Female,Television & Video,,2012,Male,0
1451,834331,4,2016-08-21,Male,Headphones,,2010,Female,0
710,49348,4,2010-11-23,Female,Computers & Accessories,Linksys,2008,Male,0
6981,678913,2,2016-01-28,Female&Male,Headphones,,2015,Male,0
3256,859364,5,2016-09-27,Female,Computers & Accessories,,2013,Female,0
7022,1099165,5,2018-01-30,Male,Portable Audio & Video,Bose,2015,Female,0
6496,470004,4,2015-05-20,Female&Male,Headphones,,2015,Male,0
182,9967,3,2007-05-12,Female,Computers & Accessories,,2018,Male,0
6909,499236,3,2015-07-01,Female,Portable Audio & Video,Philips,2015,Female,0
73,1688,5,2003-10-23,Female,Camera & Photo,Canon,2002,Female,0
3064,237563,4,2014-03-25,Male,Computers & Accessories,,2013,Male,0
