Category,Brand,Product Name,Full Title,Shipping,Price
Laptop,REFURBISHED,"Lenovo Ideapad 5 2-In-1 Laptop AMD Ryzen 7 8845HS 3.80 GHz 16GB RAM 1 TB SSD 14.0"" Touchscreen Windows 11 Home 83DR000GUS","REFURBISHED Lenovo Ideapad 5 2-In-1 Laptop AMD Ryzen 7 8845HS 3.80 GHz 16GB RAM 1 TB SSD 14.0"" Touchscreen Windows 11 Home 83DR000GUS",,459.99
Laptop,MSI,"- 16"" GeForce RTX 5070 Ti Laptop GPU - Intel Core Ultra 7 255HX - 16GB Memory - 512 GB SSD - Windows 11 Home Gaming Laptop - 144 Hz (Vector 16 HX AI A2XWHG-061US )","MSI - 16"" GeForce RTX 5070 Ti Laptop GPU - Intel Core Ultra 7 255HX - 16GB Memory - 512 GB SSD - Windows 11 Home Gaming Laptop - 144 Hz (Vector 16 HX AI A2XWHG-061US )",,1599.99
Laptop,Acer,"Aspire 15 15.6"" Laptop Ryzen 5 8640HS 8GB RAM 512 GB PCIe SSD Windows 11 Home A15-41M-R8Y2","Acer Aspire 15 15.6"" Laptop Ryzen 5 8640HS 8GB RAM 512 GB PCIe SSD Windows 11 Home A15-41M-R8Y2",,399.99
Laptop,MSI,"- 15.6"" GeForce RTX 4060 Laptop GPU - AMD Ryzen 9 8945HS - 16GB Memory - 1 TB PCIe SSD - Windows 11 Home 64-bit Gaming Laptop - 144 Hz IPS (Thin A15 B8VF-270US )","MSI - 15.6"" GeForce RTX 4060 Laptop GPU - AMD Ryzen 9 8945HS - 16GB Memory - 1 TB PCIe SSD - Windows 11 Home 64-bit Gaming Laptop - 144 Hz IPS (Thin A15 B8VF-270US )",,989.99
Laptop,Acer,"Nitro V - 15.6"" GeForce RTX 4050 Laptop GPU - Intel Core i7-13620H - 16GB Memory - 1 TB PCIe SSD - Windows 11 Home 64-bit Gaming Laptop - 144 Hz IPS (ANV15-51-75HE )","Acer Nitro V - 15.6"" GeForce RTX 4050 Laptop GPU - Intel Core i7-13620H - 16GB Memory - 1 TB PCIe SSD - Windows 11 Home 64-bit Gaming Laptop - 144 Hz IPS (ANV15-51-75HE )",,849.99
Laptop,Aorus,"16X Series - 16"" GeForce RTX 4060 Laptop GPU - Intel Core i7-13650HX - 16GB Memory - 1 TB PCIe SSD - Windows 11 Home 64-bit Gaming Laptop - 165 Hz IPS (16X 9KG-43USC54SH )","Aorus 16X Series - 16"" GeForce RTX 4060 Laptop GPU - Intel Core i7-13650HX - 16GB Memory - 1 TB PCIe SSD - Windows 11 Home 64-bit Gaming Laptop - 165 Hz IPS (16X 9KG-43USC54SH )",,1069.99
Laptop,IPASON,"14.1"" Laptop Intel N5100 (4 Core up to 2.8GHz) 12GB RAM 256GB SSD Windows 10 home Ultra Thin and Light IPS Notebook (Maxbook - P2X )","IPASON 14.1"" Laptop Intel N5100 (4 Core up to 2.8GHz) 12GB RAM 256GB SSD Windows 10 home Ultra Thin and Light IPS Notebook (Maxbook - P2X )",,128.0
Laptop,MSI,"Cyborg - 15.6"" GeForce RTX 4050 Laptop GPU - Intel Core i7-13620H - 16GB Memory - 512 GB SSD - Windows 11 Home Gaming Laptops - 144 Hz IPS (A13VE-218US )","MSI Cyborg - 15.6"" GeForce RTX 4050 Laptop GPU - Intel Core i7-13620H - 16GB Memory - 512 GB SSD - Windows 11 Home Gaming Laptops - 144 Hz IPS (A13VE-218US )",,889.99
Laptop,REFURBISHED,"Dell Latitude 7420 Laptop Intel Core i7-1185G7 1.80 GHz 32 GB RAM 512 GB SSD 14"" FHD Touchscreen Windows 11 Pro","REFURBISHED Dell Latitude 7420 Laptop Intel Core i7-1185G7 1.80 GHz 32 GB RAM 512 GB SSD 14"" FHD Touchscreen Windows 11 Pro",,369.99
Laptop,Lenovo,"V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 40GB RAM, 1TB SSD, Numeric Keypad, HDMI, RJ45, Webcam, Wi-Fi, Windows 11 Pro, Black","Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 40GB RAM, 1TB SSD, Numeric Keypad, HDMI, RJ45, Webcam, Wi-Fi, Windows 11 Pro, Black",,568.69
